date;BTS Comdty;CN Comdty;DU Comdty;FV Comdty;G  Comdty;IK Comdty;JB Comdty;KAA Comdty;KE Comdty;OAT Comdty;OE Comdty;RX Comdty;TFC Comdty;TFS Comdty;TFT Comdty;TU Comdty;TY Comdty;UB Comdty;US Comdty;UXY Comdty;WN Comdty;XM Comdty;XQ Comdty;YM Comdty
1977-12-16;;;;;;;;;;;;;;;;;;;98.2863623556;;;;;
1977-12-19;;;;;;;;;;;;;;;;;;;97.8269371654;;;;;
1977-12-20;;;;;;;;;;;;;;;;;;;97.4593970132;;;;;
1977-12-21;;;;;;;;;;;;;;;;;;;97.5819103973;;;;;
1977-12-22;;;;;;;;;;;;;;;;;;;97.4287686672;;;;;
1977-12-23;;;;;;;;;;;;;;;;;;;97.4287686672;;;;;
1977-12-27;;;;;;;;;;;;;;;;;;;97.2449985912;;;;;
1977-12-28;;;;;;;;;;;;;;;;;;;97.1224852071;;;;;
1977-12-29;;;;;;;;;;;;;;;;;;;96.816201747;;;;;
1977-12-30;;;;;;;;;;;;;;;;;;;97.5512820513;;;;;
1978-01-03;;;;;;;;;;;;;;;;;;;96.908086785;;;;;
1978-01-04;;;;;;;;;;;;;;;;;;;96.999971823;;;;;
1978-01-05;;;;;;;;;;;;;;;;;;;96.816201747;;;;;
1978-01-06;;;;;;;;;;;;;;;;;;;96.3567765568;;;;;
1978-01-09;;;;;;;;;;;;;;;;;;;96.6018033249;;;;;
1978-01-10;;;;;;;;;;;;;;;;;;;95.5910679065;;;;;
1978-01-11;;;;;;;;;;;;;;;;;;;95.1010143702;;;;;
1978-01-12;;;;;;;;;;;;;;;;;;;95.3766694844;;;;;
1978-01-13;;;;;;;;;;;;;;;;;;;95.7135812905;;;;;
1978-01-16;;;;;;;;;;;;;;;;;;;95.3460411383;;;;;
1978-01-17;;;;;;;;;;;;;;;;;;;95.4379261764;;;;;
1978-01-18;;;;;;;;;;;;;;;;;;;95.4379261764;;;;;
1978-01-19;;;;;;;;;;;;;;;;;;;95.5298112144;;;;;
1978-01-20;;;;;;;;;;;;;;;;;;;95.5298112144;;;;;
1978-01-23;;;;;;;;;;;;;;;;;;;95.5604395604;;;;;
1978-01-24;;;;;;;;;;;;;;;;;;;95.2847844463;;;;;
1978-01-25;;;;;;;;;;;;;;;;;;;95.1622710623;;;;;
1978-01-26;;;;;;;;;;;;;;;;;;;95.4379261764;;;;;
1978-01-27;;;;;;;;;;;;;;;;;;;95.4991828684;;;;;
1978-01-30;;;;;;;;;;;;;;;;;;;95.5604395604;;;;;
1978-01-31;;;;;;;;;;;;;;;;;;;95.7748379825;;;;;
1978-02-01;;;;;;;;;;;;;;;;;;;95.4072978304;;;;;
1978-02-02;;;;;;;;;;;;;;;;;;;95.5298112144;;;;;
1978-02-03;;;;;;;;;;;;;;;;;;;95.3460411383;;;;;
1978-02-06;;;;;;;;;;;;;;;;;;;95.0397576782;;;;;
1978-02-07;;;;;;;;;;;;;;;;;;;95.2847844463;;;;;
1978-02-08;;;;;;;;;;;;;;;;;;;95.1928994083;;;;;
1978-02-09;;;;;;;;;;;;;;;;;;;95.3154127923;;;;;
1978-02-10;;;;;;;;;;;;;;;;;;;95.1316427163;;;;;
1978-02-13;;;;;;;;;;;;;;;;;;;95.0397576782;;;;;
1978-02-14;;;;;;;;;;;;;;;;;;;94.9172442942;;;;;
1978-02-15;;;;;;;;;;;;;;;;;;;94.7334742181;;;;;
1978-02-16;;;;;;;;;;;;;;;;;;;94.3965624119;;;;;
1978-02-17;;;;;;;;;;;;;;;;;;;94.7947309101;;;;;
1978-02-21;;;;;;;;;;;;;;;;;;;94.549704142;;;;;
1978-02-22;;;;;;;;;;;;;;;;;;;94.7961680173;;;;;
1978-02-23;;;;;;;;;;;;;;;;;;;94.8885919705;;;;;
1978-02-24;;;;;;;;;;;;;;;;;;;95.3507117366;;;;;
1978-02-27;;;;;;;;;;;;;;;;;;;95.3507117366;;;;;
1978-02-28;;;;;;;;;;;;;;;;;;;95.0734398769;;;;;
1978-03-01;;;;;;;;;;;;;;;;;;;94.9810159237;;;;;
1978-03-02;;;;;;;;;;;;;;;;;;;95.2274797989;;;;;
1978-03-03;;;;;;;;;;;;;;;;;;;95.1966718145;;;;;
1978-03-06;;;;;;;;;;;;;;;;;;;95.2582877833;;;;;
1978-03-07;;;;;;;;;;;;;;;;;;;95.381519721;;;;;
1978-03-08;;;;;;;;;;;;;;;;;;;95.4739436742;;;;;
1978-03-09;;;;;;;;;;;;;;;;;;;95.5047516586;;;;;
1978-03-10;;;;;;;;;;;;;;;;;;;95.689599565;;;;;
1978-03-13;;;;;;;;;;;;;;;;;;;95.8436394871;;;;;
1978-03-14;;;;;;;;;;;;;;;;;;;95.7204075494;;;;;
1978-03-15;;;;;;;;;;;;;;;;;;;95.7820235183;;;;;
1978-03-16;;;;;;;;;;;;;;;;;;;95.7820235183;;;;;
1978-03-17;;;;;;;;;;;;;;;;;;;95.8436394871;;;;;
1978-03-20;;;;;;;;;;;;;;;;;;;96.1825273155;;;;;
1978-03-21;;;;;;;;;;;;;;;;;;;96.0901033623;;;;;
1978-03-22;;;;;;;;;;;;;;;;;;;95.6587915806;;;;;
1978-03-23;;;;;;;;;;;;;;;;;;;95.381519721;;;;;
1978-03-27;;;;;;;;;;;;;;;;;;;95.0118239081;;;;;
1978-03-28;;;;;;;;;;;;;;;;;;;94.9502079393;;;;;
1978-03-29;;;;;;;;;;;;;;;;;;;95.0734398769;;;;;
1978-03-30;;;;;;;;;;;;;;;;;;;94.8885919705;;;;;
1978-03-31;;;;;;;;;;;;;;;;;;;94.5805121264;;;;;
1978-04-03;;;;;;;;;;;;;;;;;;;94.6113201108;;;;;
1978-04-04;;;;;;;;;;;;;;;;;;;94.8577839861;;;;;
1978-04-05;;;;;;;;;;;;;;;;;;;94.5188961576;;;;;
1978-04-06;;;;;;;;;;;;;;;;;;;94.549704142;;;;;
1978-04-07;;;;;;;;;;;;;;;;;;;94.6421280952;;;;;
1978-04-10;;;;;;;;;;;;;;;;;;;94.549704142;;;;;
1978-04-11;;;;;;;;;;;;;;;;;;;94.3648562356;;;;;
1978-04-12;;;;;;;;;;;;;;;;;;;94.3340482512;;;;;
1978-04-13;;;;;;;;;;;;;;;;;;;94.4880881732;;;;;
1978-04-14;;;;;;;;;;;;;;;;;;;94.9502079393;;;;;
1978-04-17;;;;;;;;;;;;;;;;;;;95.1042478613;;;;;
1978-04-18;;;;;;;;;;;;;;;;;;;95.1350558457;;;;;
1978-04-19;;;;;;;;;;;;;;;;;;;94.8577839861;;;;;
1978-04-20;;;;;;;;;;;;;;;;;;;94.7345520484;;;;;
1978-04-21;;;;;;;;;;;;;;;;;;;94.4880881732;;;;;
1978-04-24;;;;;;;;;;;;;;;;;;;94.2724322824;;;;;
1978-04-25;;;;;;;;;;;;;;;;;;;94.39566422;;;;;
1978-04-26;;;;;;;;;;;;;;;;;;;94.0875843759;;;;;
1978-04-27;;;;;;;;;;;;;;;;;;;94.0567763915;;;;;
1978-04-28;;;;;;;;;;;;;;;;;;;94.1183923603;;;;;
1978-05-01;;;;;;;;;;;;;;;;;;;94.1492003447;;;;;
1978-05-02;;;;;;;;;;;;;;;;;;;94.2108163135;;;;;
1978-05-03;;;;;;;;;;;;;;;;;;;94.0567763915;;;;;
1978-05-04;;;;;;;;;;;;;;;;;;;94.3648562356;;;;;
1978-05-05;;;;;;;;;;;;;;;;;;;93.7795045319;;;;;
1978-05-08;;;;;;;;;;;;;;;;;;;93.6562725942;;;;;
1978-05-09;;;;;;;;;;;;;;;;;;;93.8411205007;;;;;
1978-05-10;;;;;;;;;;;;;;;;;;;93.8103125163;;;;;
1978-05-11;;;;;;;;;;;;;;;;;;;93.8411205007;;;;;
1978-05-12;;;;;;;;;;;;;;;;;;;93.8103125163;;;;;
1978-05-15;;;;;;;;;;;;;;;;;;;93.9951604227;;;;;
1978-05-16;;;;;;;;;;;;;;;;;;;94.0259684071;;;;;
1978-05-17;;;;;;;;;;;;;;;;;;;94.241624298;;;;;
1978-05-18;;;;;;;;;;;;;;;;;;;93.6562725942;;;;;
1978-05-19;;;;;;;;;;;;;;;;;;;93.5022326722;;;;;
1978-05-22;;;;;;;;;;;;;;;;;;;93.5946566254;;;;;
1978-05-23;;;;;;;;;;;;;;;;;;;93.717888563;;;;;
