"","pe_ratio","term_spread","default_spread","value_spread"
"1",2.56903647780259,0.557965130447371,1.18176417040275,10.7728907631315
"2",2.57862598766519,0.486226756532709,1.11487185887052,10.5280056796461
"3",2.71696012264846,0.542023269577446,1.00338467298347,9.91916411000801
"4",2.73326666060508,0.549994200012408,0.981087235806058,10.8171208175751
"5",2.80581789057744,0.534052339142483,0.891897487096417,10.7218728255091
"6",2.78875208284702,0.271011634788723,0.825005175564186,10.748161615007
"7",2.8501019030676,0.223186052178948,0.802707738386775,10.6941718515781
"8",2.74369154210451,0.32680814783346,0.869600049919006,10.2622690836471
"9",2.86488569796318,0.29492442609361,0.869600049919006,10.2643263328945
"10",2.90410263064952,0.191302330439099,0.758112864031954,10.1550636692409
"11",2.77136331514475,0.223186052178948,0.891897487096417,10.1124086127944
"12",2.64195042404556,0.247098843483836,1.13716929604793,9.74792045908709
"13",2.34857822340101,-0.151447678264286,1.33784623064463,9.57857970109601
"14",2.41902910039225,-0.0956511652195493,1.76149753701542,9.81128785395142
"15",2.6283020662091,0.223186052178948,1.60541547677355,9.93659132348716
"16",2.64156363216654,1.17969770437444,1.58311803959614,9.23738029224234
"17",2.7233213083632,0.701441878276695,1.67230778830578,9.13675035867336
"18",2.66601565904788,0.581877921752258,1.65001035112837,9.5940709248184
"19",2.44332636957826,0.454343034792859,1.65001035112837,9.11971720117034
"20",2.69702810594879,0.159418608699249,1.76149753701542,9.32229875864613
"21",2.65727395472768,0.215215121743986,1.82838984854765,8.96280241704163
"22",2.73051932912667,0.0557965130447371,1.73920009983801,9.03761571784958
"23",2.47612224204184,0.223186052178948,1.47163085370909,8.77471156515589
"24",2.4161938730487,0.103622095654512,1.60541547677355,9.63603305584819
"25",2.25498283308299,0.0557965130447371,2.02906678314435,9.73142840713288
"26",2.12369991756361,-0.135505817394362,2.07366165749917,10.0815060785585
"27",2.02623030124415,0.350720939138347,1.76149753701542,9.30964645506233
"28",1.69137893897684,0.924627930455643,1.7169026626606,9.04847995609028
"29",1.81921196700718,1.01230816524023,2.89866683306335,9.47690529686323
"30",1.94559996067733,1.21158142611429,3.30002070225674,9.09287923764202
"31",2.13301161926794,1.84925586091129,2.7871796471763,9.34120503333646
"32",2.0938227531097,1.41085468698835,2.47501552669256,9.77122094557457
"33",2.06607685968838,1.15578491306955,2.5642052754022,9.76944345382381
"34",2.03503870910133,1.53041864351279,2.51961040104738,9.9481933979765
"35",2.18237417498887,1.86519772178121,2.22974371774104,10.0780338710791
"36",2.16217687805586,1.75360469569174,2.16285140620881,9.4719160411107
"37",2.15886724585457,1.5065058522079,1.93987703443471,9.06470895650864
"38",2.28533924008311,1.02825002611015,1.89528216007989,8.86539614238327
"39",2.13414406579137,0.494197686967671,1.65001035112837,8.08651409513627
"40",1.93756969759274,-0.231156982613911,1.69460522548319,9.2736149217278
"41",1.89675330630035,-0.956511652195492,2.22974371774104,9.90444942881252
"42",1.65382922911958,-0.565936060882333,1.78379497419283,9.16297145409746
"43",1.63140380772151,-0.597819782622183,1.36014366782204,8.65259677449505
"44",1.45713084140381,-0.286953495658647,1.78379497419283,10.3507544242676
"45",1.06392823789269,-0.0159418608699249,2.09595909467658,9.65051941804295
"46",1.01596048723447,0.223186052178948,3.87975406886941,10.0540584457891
"47",1.24574027046963,1.78548841743159,4.03583612911129,9.90747747626162
"48",1.34962240814372,2.00867446961053,4.12502587782093,9.83239642253621
"49",1.21572480485069,1.60215701742745,3.70137457145013,9.89993225881957
"50",1.2563510482798,2.04055819135038,3.94664638040165,9.6725396862686
"51",1.42566259521728,2.17606400874475,3.56758994838567,8.82089146433529
"52",1.41488744070947,1.9528779565658,2.83177452153112,9.12996252982475
"53",1.44701814638313,2.00070353917557,2.27433859209586,8.9585509798526
"54",1.42147515277625,2.00867446961053,2.54190783822479,8.87519895050062
"55",1.33545273650928,2.27968610439926,2.27433859209586,8.67223130595002
"56",1.29062742939401,1.80143027830151,2.1405539690314,8.74235719287173
"57",1.23396728119029,1.21955235654925,1.96217447161212,8.91154736531334
"58",1.18623056974381,1.29129073046391,1.78379497419283,8.87539579499063
"59",1.09702102309277,1.39491282611843,1.67230778830578,8.56449053571261
