Date,Rm,Rf,D,dp,xp
1984.06,-0.035184,0.0140481,17.304,0.0473,0.11099
1984.09,0.0834774,0.0127441,17.254,0.04443,0.10323
1984.12,0.0159473,0.0231368,17.554,0.04506,0.10422
1985.03,0.0801464,0.00953406,17.674,0.04214,0.0964
1985.06,0.0638121,0.0095145,17.664,0.04093,0.09251
1985.09,-0.0488875,0.0108637,17.773,0.0423,0.0955
1985.12,0.163408,0.00877536,17.743,0.0381,0.08554
1986.03,0.147228,0.0226884,18.103,0.03387,0.07582
1986.06,0.0508689,0.00968387,18.163,0.03259,0.072
1986.09,-0.0775966,0.00880104,18.333,0.03429,0.07425
1986.12,0.0501711,0.0104991,18.393,0.03317,0.071
1987.03,0.196426,-2.9215e-05,18.263,0.02868,0.06085
1987.06,0.0371867,0.00178881,18.432,0.02807,0.05943
1987.09,0.053053,0.00137596,18.492,0.02699,0.05658
1987.12,-0.22946,0.0133453,18.742,0.03605,0.07469
1988.03,0.0484957,0.00490122,18.862,0.03329,0.06817
1988.06,0.0536142,0.00165318,19.201,0.03345,0.06772
1988.09,-0.0107306,0.00146344,19.391,0.03476,0.06959
1988.12,0.0249412,0.0126033,19.87,0.03437,0.06802
1989.03,0.0538085,0.00569714,20.1,0.03348,0.06536
1989.06,0.0729189,0.00795501,20.519,0.0312,0.06009
1989.09,0.0992679,0.0130829,21.078,0.02964,0.05645
1989.12,0.0100416,0.0113204,21.538,0.03061,0.05666
1990.03,-0.0496547,-0.00128212,21.598,0.03299,0.05941
1990.06,0.0534774,0.0105179,22.037,0.03162,0.05613
1990.09,-0.157334,-0.0017278,21.887,0.03763,0.06535
1990.12,0.0814554,0.00986882,22.187,0.03645,0.06311
1991.03,0.136864,0.00739507,22.027,0.03256,0.05612
1991.06,-0.00945735,0.00716949,21.937,0.03231,0.05551
1991.09,0.0442461,0.00524023,21.977,0.03172,0.05447
1991.12,0.0781791,0.00786782,21.718,0.0318,0.05423
1992.03,-0.0348782,-0.000338844,21.718,0.03035,0.05186
1992.06,0.0115346,0.00380454,21.578,0.03043,0.05177
1992.09,0.0230036,0.00121454,21.548,0.02977,0.05074
1992.12,0.048199,0.00256283,21.438,0.02859,0.0489
1993.03,0.0302078,-0.0041209,21.338,0.02781,0.04795
1993.06,-0.000995485,0.00174922,21.288,0.02804,0.04852
1993.09,0.0198959,0.00281869,21.188,0.02741,0.04763
1993.12,0.0189244,0.00256337,21.188,0.02706,0.04725
1994.03,-0.0474763,-0.00195344,21.198,0.02734,0.048
1994.06,-0.00157622,0.00337686,21.298,0.0281,0.04928
1994.09,0.0398238,0.00108032,21.228,0.02775,0.0486
1994.12,-0.00171459,0.00985218,21.598,0.02848,0.05022
1995.03,0.0852063,0.00270326,21.358,0.02686,0.04728
1995.06,0.0883228,0.00721208,21.508,0.0247,0.04402
1995.09,0.0757422,0.00922748,21.767,0.02315,0.04176
1995.12,0.0568704,0.0113595,22.057,0.02207,0.03996
1996.03,0.0404086,-0.0016782,22.237,0.02149,0.03902
1996.06,0.0384008,0.00626714,22.357,0.02118,0.03851
1996.09,0.0240415,0.00576971,22.806,0.02122,0.03894
1996.12,0.0779352,0.00738286,23.066,0.01971,0.03607
1997.03,0.0174289,0.00398756,23.105,0.01888,0.03472
1997.06,0.172811,0.0113138,23.215,0.0172,0.03199
1997.09,0.0700124,0.00720507,23.345,0.01625,0.03061
1997.12,0.0289217,0.0118923,23.595,0.01592,0.03028
1998.03,0.134172,0.00765761,23.675,0.0144,0.02755
1998.06,0.0290247,0.00785906,24.024,0.01417,0.02717
1998.09,-0.101507,0.00889627,24.224,0.01561,0.02982
1998.12,0.213495,0.0089199,24.264,0.01355,0.02576
1999.03,0.0418577,0.00433947,24.473,0.0127,0.02418
1999.06,0.0609838,0.00382942,24.304,0.0125,0.02371
1999.09,-0.0716458,0.00160494,24.334,0.01261,0.0242
1999.12,0.151636,0.00960475,24.344,0.01169,0.02263
2000.03,0.00839422,-0.00384488,24.034,0.01176,0.02314
2000.06,-0.0351232,0.00748817,23.784,0.01163,0.02337
2000.09,-0.013082,0.00696686,23.105,0.01153,0.02387
2000.12,-0.0784017,0.0136393,22.956,0.01246,0.02683
2001.03,-0.132281,0.00194177,22.257,0.01391,0.03094
2001.06,0.0479347,0.00045964,21.638,0.01314,0.03024
2001.09,-0.148156,0.00737218,21.678,0.01516,0.03614
2001.12,0.119869,0.0149579,21.867,0.01367,0.03279
2002.03,-0.00898773,-0.00751523,21.598,0.01375,0.03301
2002.06,-0.14009,-0.00168178,21.887,0.0157,0.0379
2002.09,-0.17411,-0.00188299,21.428,0.01848,0.04471
2002.12,0.0856198,0.00440492,21.807,0.01768,0.04329
2003.03,-0.0488903,-0.0149887,21.618,0.01917,0.04693
2003.06,0.158194,0.00547931,21.608,0.01642,0.04027
2003.09,0.0184241,-0.00586758,21.997,0.01603,0.03961
2003.12,0.125972,0.00723477,23.165,0.0152,0.03754
2004.03,0.00142562,-0.0142507,23.605,0.01547,0.03719
2004.06,0.00494608,-0.00982266,24.074,0.01602,0.03788
2004.09,-0.0198034,0.0020935,24.773,0.01654,0.03896
2004.12,0.0894752,0.00213912,25.083,0.01589,0.03684
2005.03,-0.0355639,-0.0100561,25.692,0.01639,0.03797
2005.06,0.00794272,0.00070764,26.421,0.01684,0.03836
2005.09,0.0137383,-0.014067,26.52,0.01727,0.03887
2005.12,0.0323357,0.0190823,27.719,0.0169,0.03782
2006.03,0.0265514,-0.00501742,27.988,0.01717,0.03798
2006.06,-0.0300887,-0.0040034,28.368,0.01841,0.04041
2006.09,0.05713,0.01238,29.166,0.01765,0.039
2006.12,0.0718006,0.0176571,30.275,0.01669,0.03665
2007.03,-0.0108309,-0.00504282,30.474,0.01783,0.03813
2007.06,0.0467283,-0.00207869,30.834,0.0171,0.03647
2007.09,0.0195947,0.0112402,31.773,0.01738,0.03742
2007.12,-0.0378446,0.0020198,32.412,0.01824,0.03853
2008.03,-0.108571,-0.0084158,32.541,0.0212,0.04423
2008.06,-0.0492703,-0.020971,32.212,0.02166,0.04461
2008.09,-0.0784352,0.0044669,32.372,0.02371,0.04911
2008.12,-0.187176,0.0424319,33.16,0.0315,0.06504
2009.03,-0.116012,-0.0113871,31.463,0.03775,0.07506
2009.06,0.140875,-0.0133315,29.126,0.03033,0.06104
2009.09,0.150967,-0.000818549,27.169,0.02528,0.0531
2009.12,0.0607582,0.00037264,25.482,0.02204,0.04921
2010.03,0.0460623,-0.00758976,24.703,0.02001,0.04761
2010.06,-0.116795,-0.00115294,24.823,0.02049,0.05065
2010.09,0.111752,-0.00174088,25.122,0.01963,0.04906
2010.12,0.104578,-0.00298755,25.462,0.01799,0.04465
2011.03,0.0369924,-0.0188943,25.742,0.0177,0.04367
2011.06,-0.00903976,-0.00976246,26.47,0.01838,0.04525
2011.09,-0.142613,-0.00510369,27.249,0.02056,0.05077
2011.12,0.122441,0.00544305,28.757,0.01995,0.04873
2012.03,0.108084,-0.0161873,29.276,0.01898,0.04534
2012.06,-0.0270748,-0.000194831,30.295,0.0206,0.04867
2012.09,0.0546248,-0.00812771,31.393,0.01953,0.04591
2012.12,0.0036227,0.00809763,33.42,0.02044,0.04709
2013.03,0.0910469,-0.0135185,33.869,0.02002,0.04461
2013.06,0.0257886,-0.00294116,34.978,0.01977,0.04362
2013.09,0.0493813,-0.0026649,36.066,0.01959,0.04266
2013.12,0.111723,0.00476023,36.865,0.01875,0.04022
2014.03,0.00366911,-0.0135611,37.644,0.01893,0.04007
2014.06,0.042228,-0.00852174,38.502,0.01867,0.03913
2014.09,0.0122951,0.00137083,39.701,0.01857,0.03858
2014.12,0.0640496,0.0137393,41.238,0.01832,0.03732
2015.03,0.00492642,-0.0054359,42.437,0.01881,0.03741
2015.06,-0.00860653,-0.0104865,42.946,0.01954,0.03774
2015.09,-0.0609029,0.00297261,43.864,0.02132,0.04082
2015.12,0.076957,0.00595329,45.043,0.02042,0.03851
2016.03,0.00633277,-0.00631133,45.242,0.02139,0.03941
2016.06,0.012766,-0.0114802,45.292,0.02132,0.0387
2016.09,0.0365667,-0.00103935,45.792,0.02062,0.03741
2016.12,0.0367028,0.000683421,NaN,NaN,NaN
