Date,Rm,Rf,D,dp,xp
1898.03,-0.02525,-0.00853683,6.72,0.03929,0.05543
1898.06,0.09843,0.00943,6.91,0.03621,0.05116
1898.09,0.06412,0.0210036,7.189,0.03296,0.04892
1898.12,0.06839,-0.00683243,7.269,0.03472,0.04672
1899.03,0.11044,-0.0221052,7.159,0.03231,0.04296
1899.06,-0.06905,-0.0193589,7.049,0.03414,0.04714
1899.09,-0.00815,-0.0560563,6.69,0.03465,0.04856
1899.12,-0.08118,-0.0269315,6.53,0.03703,0.05402
1900.03,0.03701,0.00109512,7.139,0.03422,0.05326
1900.06,-0.01867,0.0466796,8.128,0.03701,0.05558
1900.09,-0.0106,-0.00461923,8.737,0.04267,0.05767
1900.12,0.22738,0.0338331,9.676,0.0388,0.04821
1901.03,0.10423,0.00968,9.835,0.03846,0.04475
1901.06,0.15662,0.019234,10.125,0.03524,0.03962
1901.09,-0.08433,-0.0285221,9.915,0.04002,0.04427
1901.12,-0.02015,-0.0138711,9.825,0.04088,0.04612
1902.03,0.05413,0.021658,10.025,0.03881,0.04462
1902.06,-0.00062,-0.0258759,9.755,0.03965,0.04553
1902.09,0.06204,0.0089,9.825,0.03708,0.04375
1902.12,-0.12191,-0.0330877,9.466,0.04296,0.05093
1903.03,0.03721,0.0357907,9.825,0.04029,0.05029
1903.06,-0.07997,0.0353322,10.205,0.04389,0.05612
1903.09,-0.09737,-0.00170411,10.235,0.05292,0.06388
1903.12,0.05318,0.0365864,10.624,0.05166,0.06233
1904.03,-0.03482,-0.0214386,9.965,0.05565,0.06631
1904.06,0.05327,0.0444394,10.015,0.05037,0.06462
1904.09,0.11058,-0.0162736,9.496,0.04659,0.05973
1904.12,0.11208,-0.0140446,8.987,0.04057,0.05507
1905.03,0.11906,0.020549,9.236,0.03424,0.05043
1905.06,-0.02985,0.0185825,9.496,0.03562,0.05337
1905.09,0.08268,0.00718,9.636,0.03447,0.05065
1905.12,0.01913,-0.0130475,9.566,0.03426,0.05108
1906.03,0.0112,0.01233,10.075,0.03473,0.05192
1906.06,-0.02857,0.000370327,10.464,0.03715,0.05503
1906.09,0.08877,0.01093,10.964,0.0358,0.05208
1906.12,-0.05114,-0.0289092,10.984,0.04044,0.05663
1907.03,-0.14103,0.01343,11.253,0.0477,0.06809
1907.06,-0.0779,-0.0185856,11.173,0.05295,0.07608
1907.09,-0.03603,0.0114,11.443,0.05653,0.08111
1907.12,-0.05466,0.0705007,12.342,0.06161,0.08824
1908.03,0.08565,0.039962,12.332,0.06088,0.08344
1908.06,0.11498,0.000314088,11.912,0.05734,0.07662
1908.09,0.07102,-0.00345669,11.503,0.05237,0.07299
1908.12,0.08222,-0.0246944,10.864,0.04726,0.06858
1909.03,-0.00087,0.00743,11.133,0.0457,0.06976
1909.06,0.06557,-0.0340539,10.944,0.04323,0.06649
1909.09,0.02994,-0.0139583,10.984,0.04215,0.06556
